Code/Ref,Company_Name_cl,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_acre_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,Location_working 4,Coordinates of the license area,Column 10
 0004/2002,"U Taw Taw & Sons Co.,Ltd",Large,29.4.2002,2002-01-29,28.4.2017,2017-04-28,Marble,Marble,0.88555,0.88555,"Mandalay,Madaya, Thabawl Taung",Mandalay,Madaya, Thabawl Taung,,"93B/3( 591149,589158, 594158, 595150) (591140,589148,594148,594141)(594142, 594148,599149, 599144, 597144,597142)",
 0001/2014,No.(3) Heavy Industry. Ministry Of Industry,Large,2.1.2004,2004-01-02,1.1.2029,2029-01-01,Buxite,Bauxite,0.76892,0.76892,"Mandalay,PyinOoLwin,Nat Taung",Mandalay,PyinOoLwin,Nat Taung,,92 B / 12 ,
" 0001/2015
",No.(3) Heavy Industry. Ministry Of Industry,Large,5.1.2005,2005-01-05,4.1.2030,2030-01-04,Feldspar,Feldspar,0.20235,0.20235,"Mandalay,ThaZi,HlaingTat",Mandalay,ThaZi,HlaingTat,,93 D/1+5(735270),
" 0002/2015
",No.(3) Heavy Industry. Ministry Of Industry,Large,5.1.2005,2005-01-05,4.1.2030,2030-01-04,Feldspar,Feldspar,0.20235,0.20235,"Mandalay,ThaZi, Wyaryounyae",Mandalay,ThaZi, Wyaryounyae,,"93D/1(723217, 727217, 723213, 727213)",
 0003/2008,Myanmar Economic Holding Limited,Large,18..7.2008,2008-01-18,17.7.2018,2018-07-17,Granite,Granite,3.34278,3.34278,"Mandalay,SinKying,Sin Taung",Mandalay,SinKying,Sin Taung,,"93 C/2(640322,665322, 650310, 650297,639291,639317)",
 0006/2008,"UE Export & Import Co.,Ltd",Large,10.11.2008,2008-01-10,9.11.2018,2018-11-09,Limestone,Limestone,0.1295,0.1295,"Mandalay,Kyaukse,Taungnima Taung",Mandalay,Kyaukse,Taungnima Taung,,"93 C/6 F( 758108, 764108, 762101,765101)",
 0004/2009,"Blue Diamond Cement Co.,Ltd",Large,23.9.2015,2015-01-23,11.11.2034,2034-11-11,Limestone,Limestone,3.8446,3.8446,"Mandalay,ThaZi,Pyi Nyung
Nyungpinhtuk",Mandalay,ThaZi,"Pyi Nyung
Nyungpinhtuk",,"93D/5LL(926230,942230,942212,926212) (926212,926198,916198, 916212)",
 0008/2010,"Myanmar Naing Group Co.,Ltd",Large,5.4.2010,2010-01-05,4.4.2035,2035-04-04,Limestone,Limestone,11.2071,11.2071,"Mandalay,ThaZi,Pyi Nyung",Mandalay,ThaZi,Pyi Nyung,,"93 D/5(A - 886 367,B - 918 378,C - 932 345,     D - 897 333)",
 0018/2010,"Shwe Taung Mining Co.,Ltd",Large,22.12.2010,2010-01-22,21.12.2035,2035-12-21,Limestone,Limestone,2.42817,2.42817,"Mandalay,ThaZi,Thapyae Taung",Mandalay,ThaZi,Thapyae Taung,,"93 D/5(A - LL 912 316,B - LL 927 316,C - LL 927 296,D - LL 912 296)",
0019/2010,"Myanmar Naing Group Co.,Ltd",Large,7.3.2013,2013-01-07,28.12.2035,2035-12-28,Limestone,Limestone,1.62071,1.62071,"Mandalay,Kyaukse,Taungnima ",Mandalay,Kyaukse,Taungnima ,,"93 C/2+6(F(763122,774122, 774108,756108)",
 0003/2011,Green Aisa LTD,Large,13.1.2011,2011-01-13,12.1.2021,2021-01-12,Limestone,Limestone,2.75192,2.75192,"Mandalay,ThaZi,Sai Taung",Mandalay,ThaZi,Sai Taung,,"93 D/5 LL( 912280, 925280, 925255,912255)",
